fertilizer,N,P,K,price_per_kg,source
Urea,46,0,0,6.5,AGMARKNET
DAP,18,46,0,27.0,AGMARKNET
MOP,0,0,60,25.5,AGMARKNET
SSP,0,16,0,8.5,AGMARKNET
10-26-26,10,26,26,32.0,AGMARKNET
12-32-16,12,32,16,35.0,AGMARKNET
14-35-14,14,35,14,38.0,AGMARKNET
17-17-17,17,17,17,30.0,AGMARKNET
20-20-0,20,20,0,22.0,AGMARKNET
NPK 15-15-15,15,15,15,28.0,AGMARKNET
NPK 19-19-19,19,19,19,33.0,AGMARKNET
Ammonium Sulphate,21,0,0,12.0,AGMARKNET
Single Super Phosphate,0,16,0,8.5,AGMARKNET
Muriate of Potash,0,0,60,25.5,AGMARKNET
